Sample ID,Treatment,Treatment Details,Barcode,antibody,replicate,Flag,Normalized
M211,Sham,Sham-1,21361,AP7547b,0,0,1305
M211,Sham,Sham-1,21361,AP7547b,1,0,999
M211,Sham,Sham-1,21361,AP7606b,0,0,878
M211,Sham,Sham-1,21361,AP7606b,1,0,1031
M211,Sham,Sham-1,21361,AP7607b,0,0,1331
M211,Sham,Sham-1,21361,AP7607b,1,0,732
M211,Sham,Sham-1,21361,AP7608a,0,0,696
M211,Sham,Sham-1,21361,AP7608a,1,0,721
M211,Sham,Sham-1,21361,AP7608b,0,0,974
M211,Sham,Sham-1,21361,AP7608b,1,0,888
M211,Sham,Sham-1,21361,AP7609a,0,0,994
M211,Sham,Sham-1,21361,AP7609a,1,0,711
M211,Sham,Sham-1,21361,AP7609b,0,0,728
M211,Sham,Sham-1,21361,AP7609b,1,0,495
M211,Sham,Sham-1,21361,AP7610a,0,0,650
M211,Sham,Sham-1,21361,AP7610a,1,0,708
M211,Sham,Sham-1,21361,AP7610b,0,0,1201
M211,Sham,Sham-1,21361,AP7610b,1,0,1122
M211,Sham,Sham-1,21361,AP7611a,0,0,2492
M211,Sham,Sham-1,21361,AP7611a,1,0,3095
M211,Sham,Sham-1,21361,AP7611b,0,0,834
M211,Sham,Sham-1,21361,AP7611b,1,0,740
M211,Sham,Sham-1,21361,AP7612a,0,0,949
M211,Sham,Sham-1,21361,AP7612a,1,0,837
M211,Sham,Sham-1,21361,AP7613a,0,0,554
M211,Sham,Sham-1,21361,AP7613a,1,0,450
M211,Sham,Sham-1,21361,AP7613b,0,0,590
M211,Sham,Sham-1,21361,AP7613b,1,1,503
M211,Sham,Sham-1,21361,AP7622a,0,0,976
M211,Sham,Sham-1,21361,AP7622a,1,0,484
M211,Sham,Sham-1,21361,AP7623a,0,0,1490
M211,Sham,Sham-1,21361,AP7623a,1,0,1235
M211,Sham,Sham-1,21361,AP7623b,0,0,96
M211,Sham,Sham-1,21361,AP7623b,1,1,296
M211,Sham,Sham-1,21361,AP7624a,0,0,896
M211,Sham,Sham-1,21361,AP7624a,1,0,612
M211,Sham,Sham-1,21361,AP7625a,0,0,522
M211,Sham,Sham-1,21361,AP7625a,1,0,405
M211,Sham,Sham-1,21361,AP7627a,0,0,2242
M211,Sham,Sham-1,21361,AP7627a,1,0,1967
M211,Sham,Sham-1,21361,AP7627b,0,0,921
M211,Sham,Sham-1,21361,AP7627b,1,0,574
M211,Sham,Sham-1,21361,AP7628a,0,0,1381
M211,Sham,Sham-1,21361,AP7628a,1,0,983
M211,Sham,Sham-1,21361,AP7628b,0,0,907
M211,Sham,Sham-1,21361,AP7628b,1,0,1128
M211,Sham,Sham-1,21361,AP7629a,0,0,1485
M211,Sham,Sham-1,21361,AP7629a,1,0,1348
M211,Sham,Sham-1,21361,AP7629b,0,0,969
M211,Sham,Sham-1,21361,AP7629b,1,0,1095
M211,Sham,Sham-1,21361,AP7631a,0,0,596
M211,Sham,Sham-1,21361,AP7631a,1,0,1006
M211,Sham,Sham-1,21361,AP7636a,0,0,841
M211,Sham,Sham-1,21361,AP7636a,1,0,1330
M211,Sham,Sham-1,21361,AP7637b,0,0,102
M211,Sham,Sham-1,21361,AP7637b,1,1,177
M211,Sham,Sham-1,21361,AP7638a,0,0,263
M211,Sham,Sham-1,21361,AP7638a,1,1,119
M211,Sham,Sham-1,21361,AP7639a,0,0,1413
M211,Sham,Sham-1,21361,AP7639a,1,0,2043
M211,Sham,Sham-1,21361,AP7642a,0,0,517
M211,Sham,Sham-1,21361,AP7642a,1,0,432
M211,Sham,Sham-1,21361,AP7642b,0,0,4860
M211,Sham,Sham-1,21361,AP7642b,1,1,2983
M211,Sham,Sham-1,21361,AP7643a,0,0,2920
M211,Sham,Sham-1,21361,AP7643a,1,0,2674
M211,Sham,Sham-1,21361,AP7644a,0,0,1247
M211,Sham,Sham-1,21361,AP7644a,1,0,2028
M211,Sham,Sham-1,21361,AP7644b,0,0,1002
M211,Sham,Sham-1,21361,AP7644b,1,0,881
M211,Sham,Sham-1,21361,AP7649a,0,0,1457
M211,Sham,Sham-1,21361,AP7649a,1,0,1629
M211,Sham,Sham-1,21361,AP7651b,0,0,900
M211,Sham,Sham-1,21361,AP7651b,1,0,1088
M211,Sham,Sham-1,21361,AP7677b,0,0,61
M211,Sham,Sham-1,21361,AP7677b,1,0,49
M211,Sham,Sham-1,21361,AP7684a,0,0,235
M211,Sham,Sham-1,21361,AP7684a,1,0,237
M211,Sham,Sham-1,21361,AP7697a,0,0,1190
M211,Sham,Sham-1,21361,AP7697a,1,0,1126
M211,Sham,Sham-1,21361,AP7701a,0,0,491
M211,Sham,Sham-1,21361,AP7701a,1,0,451
M211,Sham,Sham-1,21361,AP7703a,0,0,616
M211,Sham,Sham-1,21361,AP7703a,1,0,489
M211,Sham,Sham-1,21361,AP7704b,0,0,1239
M211,Sham,Sham-1,21361,AP7704b,1,0,1156
M211,Sham,Sham-1,21361,AP7708a,0,0,1415
M211,Sham,Sham-1,21361,AP7708a,1,0,1000
M211,Sham,Sham-1,21361,AP7709a,0,0,1942
M211,Sham,Sham-1,21361,AP7709a,1,0,1904
M211,Sham,Sham-1,21361,AP7804b,0,0,1200
M211,Sham,Sham-1,21361,AP7804b,1,0,1515
M211,Sham,Sham-1,21361,AP7808b,0,0,1833
M211,Sham,Sham-1,21361,AP7808b,1,0,2148
M211,Sham,Sham-1,21361,AP7901a,0,0,816
M211,Sham,Sham-1,21361,AP7901a,1,0,1702
M211,Sham,Sham-1,21361,AP7902a,0,0,167
M211,Sham,Sham-1,21361,AP7902a,1,0,150
M211,Sham,Sham-1,21361,AP7905a,0,0,54
M211,Sham,Sham-1,21361,AP7905a,1,0,426
M211,Sham,Sham-1,21361,AP7907a,0,0,893
M211,Sham,Sham-1,21361,AP7907a,1,0,558
M211,Sham,Sham-1,21361,AP7908a,0,0,1013
M211,Sham,Sham-1,21361,AP7908a,1,0,859
M211,Sham,Sham-1,21361,AP7910a,0,0,333
M211,Sham,Sham-1,21361,AP7910a,1,0,460
M211,Sham,Sham-1,21361,AP8004a,0,0,822
M211,Sham,Sham-1,21361,AP8004a,1,0,817
M211,Sham,Sham-1,21361,AP8026a,0,0,1123
M211,Sham,Sham-1,21361,AP8026a,1,0,1024
M211,Sham,Sham-1,21361,AP8030b,0,0,516
M211,Sham,Sham-1,21361,AP8030b,1,0,488
M211,Sham,Sham-1,21361,AP8052a,0,0,1406
M211,Sham,Sham-1,21361,AP8052a,1,1,1043
M211,Sham,Sham-1,21361,AP8052b,0,0,882
M211,Sham,Sham-1,21361,AP8052b,1,0,1292
M211,Sham,Sham-1,21361,AP8053b,0,0,3306
M211,Sham,Sham-1,21361,AP8053b,1,0,2141
M211,Sham,Sham-1,21361,AP8053c,0,0,1467
M211,Sham,Sham-1,21361,AP8053c,1,0,1154
M211,Sham,Sham-1,21361,AP8058b,0,0,417
M211,Sham,Sham-1,21361,AP8058b,1,0,356
M211,Sham,Sham-1,21361,AP8060b,0,0,1915
M211,Sham,Sham-1,21361,AP8060b,1,0,1388
M211,Sham,Sham-1,21361,AP8062a,0,0,1743
M211,Sham,Sham-1,21361,AP8062a,1,0,1468
M211,Sham,Sham-1,21361,AP8064c,0,0,802
M211,Sham,Sham-1,21361,AP8064c,1,0,702
M211,Sham,Sham-1,21361,AP8076b,0,0,973
M211,Sham,Sham-1,21361,AP8076b,1,0,918
M211,Sham,Sham-1,21361,AP8096a,0,0,654
M211,Sham,Sham-1,21361,AP8096a,1,0,790
M211,Sham,Sham-1,21361,AP8101b,0,0,620
M211,Sham,Sham-1,21361,AP8101b,1,0,447
M211,Sham,Sham-1,21361,AP8103a,0,0,797
M211,Sham,Sham-1,21361,AP8103a,1,0,962
M211,Sham,Sham-1,21361,AP8126a,0,0,749
M211,Sham,Sham-1,21361,AP8126a,1,0,218
M211,Sham,Sham-1,21361,AP8126b,0,0,1506
M211,Sham,Sham-1,21361,AP8126b,1,0,1302
M211,Sham,Sham-1,21361,B50263-51,0,0,1872
M211,Sham,Sham-1,21361,B50263-51,1,0,1665
M211,Sham,Sham-1,21361,B50270-51,0,0,464
M211,Sham,Sham-1,21361,B50270-51,1,0,420
M211,Sham,Sham-1,21361,B50279-51,0,0,2905
M211,Sham,Sham-1,21361,B50279-51,1,0,2278
M211,Sham,Sham-1,21361,B63620,0,0,2979
M211,Sham,Sham-1,21361,B63620,1,0,3358
M211,Sham,Sham-1,21361,C150M,0,0,1157
M211,Sham,Sham-1,21361,C150M,1,1,865
M211,Sham,Sham-1,21361,DB002,0,0,639
M211,Sham,Sham-1,21361,DB002,1,0,724
M211,Sham,Sham-1,21361,DB025,0,0,1553
M211,Sham,Sham-1,21361,DB025,1,0,1080
